ココア（ホット）,無脂肪乳,313,13.6,7.5,49,0.4,
ココア（ホット）,豆乳,387,12.8,19.6,41.6,0.5,
ココア（ホット）,アーモンドミルク,349,4.8,20.5,39.7,0.7,
ココア（ホット）,オーツミルク,358,4.2,14.3,54.6,0.4,
ココア（アイス）,ミルク,291,10.2,8.7,44.3,0.3,
ココア（アイス）,低脂肪タイプ,257,10.2,5,44.1,0.3,
ココア（アイス）,無脂肪乳,223,10.2,1.2,43.9,0.3,
ココア（アイス）,豆乳,283,10,10.5,38.8,0.4,
ココア（アイス）,アーモンドミルク,249,3.8,10.7,37.2,0.5,
ココア（アイス）,オーツミルク,256,3.4,6.2,47.9,0.3,
キャラメル スチーマー,ミルク,345,11.9,17.6,35,0.4,
キャラメル スチーマー,低脂肪タイプ,304,12.4,12.6,35.5,0.5,
キャラメル スチーマー,無脂肪乳,253,12.4,7,35.2,0.5,
キャラメル スチーマー,豆乳,334,11.5,20.1,27.3,0.6,
キャラメル スチーマー,アーモンドミルク,293,3,21.1,25.2,0.8,
キャラメル スチーマー,オーツミルク,303,2.3,14.4,41.2,0.5,
スチーム ミルク,ミルク,233,12.9,12.2,18.3,0.4,
スチーム ミルク,低脂肪タイプ,188,13.5,6.6,18.9,0.5,
スチーム ミルク,無脂肪乳,131,13.5,0.4,18.6,0.5,
スチーム ミルク,豆乳,221,12.5,14.9,9.7,0.6,
スチーム ミルク,アーモンドミルク,175,3,16,7.4,0.8,
スチーム ミルク,オーツミルク,186,2.2,8.6,25.3,0.5,
アイス ミルク,ミルク,178,9.8,9.3,14,0.3,
アイス ミルク,低脂肪タイプ,137,9.8,4.8,13.7,0.3,
アイス ミルク,無脂肪乳,95,9.8,0.3,13.5,0.4,
アイス ミルク,豆乳,168,9.5,11.4,7.4,0.4,
アイス ミルク,アーモンドミルク,127,2.2,11.6,5.4,0.6,
アイス ミルク,オーツミルク,135,1.6,6.2,18.4,0.3,
抹茶 ティー ラテ（ホット）,ミルク,226,7.3,6.4,35.3,0.2,
抹茶 ティー ラテ（ホット）,低脂肪タイプ,203,7.6,3.6,35.6,0.2,
抹茶 ティー ラテ（ホット）,無脂肪乳,175,7.6,0.5,35.5,0.3,
抹茶 ティー ラテ（ホット）,豆乳,220,7.1,7.8,31.1,0.3,
抹茶 ティー ラテ（ホット）,アーモンドミルク,197,2.3,8.3,29.9,0.4,
抹茶 ティー ラテ（ホット）,オーツミルク,202,2,4.6,38.8,0.2,
チャイ ティー ラテ（ホット）,ミルク,218,6.6,6.2,34.4,0.2,
チャイ ティー ラテ（ホット）,低脂肪タイプ,196,6.9,3.4,34.7,0.2,
チャイ ティー ラテ（ホット）,無脂肪乳,167,6.9,0.3,34.6,0.3,
チャイ ティー ラテ（ホット）,豆乳,212,6.4,7.5,30.1,0.3,
